analysis_set,seed,fault_type,prevalence,stream,method,class,n,auroc,auprc,recall
strict,101,offset,0.4,strict_fault_applied_available,Safe-CF-12,6,237,0.8077758188082191,0.48914428259052917,0.6497890295358649
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,1,230,0.8097159131876848,0.4779997315212645,0.6608695652173913
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,2,220,0.899372009569378,0.666178456777532,0.4727272727272727
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,3,230,0.8802437089912755,0.6383873704729718,0.4826086956521739
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,4,253,0.719758502367198,0.3396787511608157,0.043478260869565216
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,5,266,0.87575669944091,0.7728435540989116,0.6090225563909775
strict,101,offset,0.4,strict_fault_applied_available,Shrink-6,6,237,0.8098837638960736,0.4778069245218223,0.6497890295358649
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,1,230,0.8055591607181483,0.475215272350459,0.6565217391304348
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,2,220,0.9010578648325359,0.6683560279079839,0.4727272727272727
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,3,230,0.8783618141178169,0.6339268512336623,0.47391304347826085
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,4,253,0.7189265583914414,0.3409186787732938,0.043478260869565216
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,5,266,0.8731893837156994,0.7696677400158596,0.6090225563909775
strict,101,offset,0.4,strict_fault_applied_available,Tree-6,6,237,0.8090215826831783,0.47727356042387187,0.6497890295358649
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,1,230,0.8205061648280338,0.5137546412310492,0.6608695652173913
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,2,220,0.9024596291866028,0.7003102862943615,0.4727272727272727
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,3,230,0.8914810007931359,0.6733270250470876,0.4826086956521739
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,4,253,0.7129024821332514,0.33658231977991965,0.043478260869565216
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,5,266,0.8700918964076858,0.7641499685860204,0.6090225563909775
strict,101,offset,0.4,strict_fault_applied_available,Three-outcome-6,6,237,0.8081101339724032,0.494489935423557,0.6497890295358649
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,1,230,0.8093049246521019,0.4748809353113695,0.6608695652173913
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,2,220,0.9010653409090909,0.6744880314419803,0.4727272727272727
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,3,230,0.880856586632057,0.6379041395279896,0.4782608695652174
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,4,253,0.7215627182182366,0.3428996960977197,0.043478260869565216
strict,101,offset,0.4,strict_fault_applied_available,Cascade-25,5,266,0.8759237838185207,0.7744503079139722,0.6090225563909775
